용어,설명
기말재공품원가,기말현재의 재공품 시재액으로 기초재공품원가와 반대로 결산일 현재 생산과정중에 있는 재공품잔액을 말한다.
"기명사채 (記名社債, registered bond)","사채권(社債券)과 사채권자(社債權者)의 성명이 기재되어 있는 사채로 무기명사채에 대립되는 말이다. 회사가 사채의 발행에 있어서 특히 기명식, 무기명식에 한한다는 지정이 없는 경우에는 타인으로의 전환은 원칙으로 자유이지만, 채권을 기명 또는 무기명의 어느 하나에 한 한다는 규정이 있는 때에는 전환은 인정되지 않는다. 한국의 사채는 대부분이 무기명채권으로 발행되고 있으며, 금융채에 있어서도 원칙으로는 무기명채권이다. 기명사채의 양도는 의사표시와 채권의 인도에 의하여 이루어지며, 그 이전(移轉)으로 회사 또는 제3자에 대항하기 위하여서는 취득자의 성명과 주소를 사채원부(社債原簿)에 기재하고 성명을 채권에 기재하여야 한다.? "
기술통계학,"통계학은 크게 두가지 분야로 나뉘는데 하나는 기술통계학이고 다른 하나는 추측통계학이다. 이 가운데 기술통계학은 통계적자료의 기술에 관한 학문이라 할 수 있다. 즉, 통계적 자료는 전수조사에 의해서 얻은 것을 전제로 하고 그 목적은 집단의 기술로 한다. 즉 도수분포, 집단의 특성값(평균, 분산등), 상관 및 회귀분석 등을 대상으로 한다. 표본조사에 의해서도 위의 분석을 시도할 수 있다. 그것은 모수 추정을 위한 것이다. 이런 점에서 기술 통계학은 K. Pearson까지의 통계학과 대륙 특히, 독일에서 발달된 통계학을 뜻한다. Pearson의 경우도 표본 이론이 있었지만 Gosset과 같은 소표본 이론은 아니었다. 기술 통계학에 대립되는 추측통계학은 W.S. Gosset과 R.A. Fisher에 의해서 완성된 것이라 할 수 있다"
기술혁신,"생산이나 소비가 매년 같은 규모로 반복되고 경제체계의 규모가 변치않는 것을 정태라고 한다. 이에 비하여 현실에 있어서는 경제규모가 매년 변동되며 이러한 동태의 상태에 있어서 무엇이 경제규모를 변동시키는가에 대하여는 많은 이론이 전개되었다. 이 중에서 특히 슘페터(Schumpeter, J.A)는 기업가의 활동을 중요시하고 경제발전은 기업의 혁신(이노베이션, 혁신, 신결합 또는 신기축이라고도 함)에 의존된다고 하였다. 그에 의하면 혁신이란 ①신상품의 생산, ②신생산방법의 도입, ③신시장의 개척, ④신자원의 획득 및 이용, ⑤신조직의 달성 등에 의하여 생산요소를 신결합하는 것을 가르키며, 기업이윤이 창조되고 정태적 균형을 파괴하고 동태적 경제발전을 행하는 것은 이러한 혁신에 의존된다고 하였다."
기업개선작업 (Workout),"부실화의 정도가 심하지 않아서 재무차원의 구조조정이 수행될 경우 회생가능성이 큰 것으로 판단되는 기업들을 대상으로 해당 기업의 채권금융기관 등이 협상을 통해 대상기업의 재무구조개선 방안을 마련해 나가는 일련의 과정을 일컫는다. 워크아웃은 금융기관 간의 자율적인 협약에 따라 기업이 부담 가능한 채무범위를 초과하는 금액에 대해 다양한 형태의 채무조정을 하게 된다. 기업개선작업의 목적은 기업의 퇴출이 아니라 회생을 목표로 기업의 재무구조를 건실화시키는 것으로 회생가능기업의 기업개선방안 (workout plan)을 채권금융기관과 기업 등 이해관계자가 협상을 통해 마련하는 과정으로 기업개선작업은 기업이 완전 부실화되기 전 단계에서 이해당사자가 자율협약에 따라 기업회생을 추진하는 제도이며, 많은 시간과 비용이 소요되고 기업의 회생가능성도 낮은 법정관리/화의 등 법적 절차에 의한 방식보다 효율성이 앞선다. 워크아웃채권의 경우 기존채권의 금융조건 완화 시 일정기간 원금의 유예와 이자율의 감면 및 이자지급시기의 조정을 하는 것이 대부분인데, 이때 유예기간 만료시에 원금의 상환을 강제하지 않고 재협의하기로 약정을 하는 경우가 많다. 즉, 협약에 따른 원리금 상환스케쥴이 명확하지 않고 최종연도의 상환도 불투명하다고 볼 수 있다. "
"기업결합 (企業結合, business consolidation)","법률적으로 독립하고 있는 몇 개의 기업이 출자 등의 자본적 연휴를 기초로 하는 지배?종속 관계에 의해 형성되는 것으로 콘체른(Konzern)이라고도 한다. 카르텔이 개별기업의 독립성을 보장하고, 트러스트가 동일산업 내의 기업합동인 점과는 대조적으로, 기업결합은 각종 산업에 걸쳐 다각적으로 독점력을 발휘하는 거대한 기업집단이다. 결합 방법으로는 주식의 상호소유(자본교환), 융자(자본첨가), 임원파견, 경영자의 인적결합, 이익협동, 경영위탁(경영임대차) 등이 있다.기업결합에는 자본의 유효한 활용을 목적으로 하는 금융자본형과, 생산 및 판매상의 필요에서 이루어진 산업자본형이 있다. 금융자본형 기업결합은 거의가 자본참가방법에 의해서 행하여지며, 산업자본형 기업결합도 자본참가가 없는 것은 아니다. 금융자본형의 기업결합이 산업자본형 결합보다 강력한데, 그 이유는 금융자본형의 기업결합에는 중심이 되는 금융기관이 존재하기 때문이며 그 최고의 형태가 지주회사(持株會社)를 정점으로 하는 기업결합이다. "
기업경기실사지수(BSI),기업가들을 대상으로 기업경기 현황과 전망을 설문조사하고 그 결과를 지수화한 통계로 당월말에 당월 통계가 발표되므로 기업가들이 체감하는 경기동향 및 전망의 신속한 파악이 가능 
기업경기전망(실사)지수 (BSI: Business Survey Index),"기업활동의 실적/계획/경기동향 등에 대한 기업가들의 의견을 직접 조사, 이를 지수화한 것으로 전반적인 경기동향을 파악하는 지표이다. 기업경기실사지수라고도 한다. 기업가들의 경기에 대한 판단, 장래 전망 등을 설문지를 통해 조사한다. 기업가의 판단과 계획이 단기적인 경기변동에 중요한 영향을 미친다는 점에서 중요한 경기예측지표로 사용된다. BSI는 다른 경기지표와는 달리 기업가의 주관적이고 심리적인 요소까지 조사가 가능하고, 정부 정책의 파급효과를 분석하는 데 활용되기도 한다. 그러나 기업경기전망지수는 비교적 쉽게 조사되고 작성될 수 있지만 조사자의 주관적인 판단이 개입될 여지가 많은 것이 단점이다. 우리나라에서는 전국경제인연합회/상공회의소/산업은행/한국은행 등에서 조사/발표하고 있다. "
기업경상이익률,자금원천에 관계없이 기업에 투하된 총자본이 얼마나 효율적으로 운용되었는가를 나타내는 지표로서 경상이익에서 차입금에 대한 이자비용을 차감하기 전의 금액을 총자본과 대비한 것이다. 따라서 기업가의 경영능력을 측정하는 지표로 이용되고 있다
기업경영분석의 1인당 부가가치 증가율,「기업경영분석」의 1인당 부가가치증가율은 종업원 한 사람이 산출한 부가가치액의 전년대비 증가율로 측정되는 대표적인 노동생산성 지표이다.
"기업공개 (企業公開, initial public offering)","기업공개란 증권거래법 등의 규정에 따라 개인이나 소수 주주로 구성되어 폐쇄성을 띠고 있는 기업이 그 주식을 법정절차와 방법에 따라 일반 대중에게 분산하고 재무내용을 공시하는 것이다. 넓은 의미로는 기업의 전반적 경영내용의 공개, 즉 디스클로저(disclosure)까지도 포함하지만, 좁은 의미로는 주식공개를 말한다. 기업의 원활한 자금조달과 재무구조 개선을 도모하고 국민의 기업참여를 장려하여, 국민경제의 건전한 발전에 기여함을 목적으로 한다. 따라서 기업공개를 통해 주주의 분산투자 촉진 및 소유분산, 자금조달능력의 증가, 주식가치의 공정한 결정, 세제상의 혜택 등을 볼 수 있다. 최근 기업은 개인이나 소수의 소유물이 아닌 사회적 공유물로서 기업 외부의 여러 집단과 밀접한 관계를 가지고 있어 기업의 사회적 책임이 강조되고 있다. 또한 경제성장과 더불어 기업규모의 확대에 따라 소수의 자본이나 차입에 의한 간접금융만으로는 그 자금수요를 충족할 수 없게 되었다. 따라서 기업은 일반 대중으로부터 영세자금을 규합하여 거액의 소요자금을 일시에 조달하는 방법을 취하게 되는데 이를 위해서는 이해관계인의 신뢰와 이해를 받아야 한다. "
기업구조조정기금 (CRF: Corporate Restructuring Fund),"자산 중 50％ 이상을 대기업그룹에 속하지 않는 기업의 유상증자나 사채발행 등 신규로 발행하는 유가증권에 투자?운용하는 기금이다. 뮤추얼펀드 형태의 페이퍼컴퍼니(paper company)로 자산관리회사(AMC)에 위탁하여 관리하도록 하고 있다. 현재 한강구조조정기금 등 4개의 CRF가 설립되어 운영중이다. 국제통화기금(IMF) 관리체제 이후 성장 가능성은 있으나 일시적으로 자금부족을 겪는 성장 가능한 기업을 지원하여 기업구조조정을 촉진하기 위해 설립하였다. 구조조정기금은 크게 부채구조조정기금과 주식투자기금으로 나뉜다. 부채구조조정기금은 기업에 장기자금을 대출해 주어 단기채무를 장기채무로 전환해 주는 것이고, 주식투자기금은 기업의 주식을 기금으로 사들여 신규 자금의 공급을 원활하게 하는 역할을 한다. "
기업구조조정위원회,"기업구조조정위원회는 기업개선작업의 효율적 수행과 채권금융기관간의 이견조정을 목적으로 구성되었다. 위원회는 1명의 위원장과 6명 내외의 구조조정 전문가 등으로 구성되며, 채권금융기관이 신청한 대상기업의 회생가능성 유무에 대한 이견조정과, 채권금융기관이 신청한 회생가능기업의 기업개선적업 추진계획 등에 대한 이견조정, 위원회 조정의견 및 채권금융기관간 자율합의사항 위반건에 대한 처리, 기업구조조정협약의 해석 및 개정 또는 폐지의 제안 등의 권한을 보유한다. "
